epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.715665,0.084337,3.282783,0.168478,0.133383,24.581
1,2.816451,0.379518,2.800254,0.328804,0.287335,21.652
2,2.199537,0.665663,2.413317,0.459239,0.430837,22.975
3,1.718638,0.834337,2.077914,0.559783,0.532716,21.217
4,1.36084,0.894578,1.822641,0.584239,0.557021,23.006
5,1.07746,0.942771,1.652098,0.63587,0.615869,22.615
6,0.848036,0.972892,1.531276,0.67663,0.666522,21.36
7,0.712038,0.966867,1.45702,0.706522,0.702029,22.627
8,0.557732,0.98494,1.412056,0.709239,0.705073,21.601
9,0.459517,0.990964,1.383372,0.714674,0.712057,22.066
10,0.358889,0.996988,1.337578,0.725543,0.72265,21.818
11,0.319173,0.996988,1.312038,0.714674,0.710263,21.797
12,0.260638,0.993976,1.276414,0.720109,0.717639,22.337
13,0.22514,1.0,1.250474,0.717391,0.715386,21.905
14,0.198849,1.0,1.208612,0.714674,0.709447,22.457
15,0.160481,1.0,1.196525,0.714674,0.710456,22.189
16,0.138136,1.0,1.167246,0.711957,0.707053,22.807
17,0.117778,1.0,1.141737,0.717391,0.714518,22.98
18,0.118856,1.0,1.121629,0.725543,0.720994,21.708
19,0.098195,1.0,1.113632,0.730978,0.728903,21.728
20,0.086827,1.0,1.11841,0.725543,0.724989,22.807
21,0.086444,1.0,1.110562,0.733696,0.732682,21.687
22,0.071956,1.0,1.101275,0.730978,0.729801,21.651
23,0.066856,1.0,1.099682,0.728261,0.725404,22.994
24,0.059616,1.0,1.081808,0.728261,0.723841,22.098
25,0.060406,1.0,1.075614,0.730978,0.728941,25.713
26,0.055413,1.0,1.071248,0.741848,0.738359,22.015
27,0.050659,1.0,1.079197,0.730978,0.727328,23.599
28,0.047952,1.0,1.065254,0.728261,0.724617,22.515
29,0.040398,1.0,1.061456,0.733696,0.731464,22.034
