epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.715664,0.084337,3.282795,0.168478,0.133383,21.448
1,2.816484,0.379518,2.799855,0.328804,0.286949,20.965
2,2.199461,0.665663,2.412621,0.456522,0.425636,20.994
3,1.718715,0.834337,2.077546,0.557065,0.530524,21.035
4,1.360961,0.89759,1.8236,0.586957,0.559628,21.112
5,1.077522,0.942771,1.653487,0.63587,0.615869,21.112
6,0.848017,0.972892,1.532429,0.673913,0.66404,21.124
7,0.712028,0.96988,1.457816,0.706522,0.702132,21.144
8,0.557882,0.987952,1.411132,0.709239,0.705236,21.638
9,0.459318,0.990964,1.381884,0.717391,0.714726,21.281
10,0.358625,0.996988,1.335152,0.722826,0.719734,21.138
11,0.319258,0.996988,1.308919,0.706522,0.703126,21.133
12,0.260767,0.993976,1.273937,0.720109,0.717562,21.197
13,0.22522,1.0,1.251024,0.722826,0.721353,21.295
14,0.198847,1.0,1.210388,0.711957,0.707025,21.18
15,0.160653,1.0,1.197759,0.717391,0.7122,21.356
16,0.138042,1.0,1.168211,0.711957,0.707251,22.291
17,0.117762,1.0,1.142218,0.720109,0.717159,21.667
18,0.118934,1.0,1.122185,0.730978,0.727187,22.581
19,0.098166,1.0,1.114302,0.730978,0.728903,21.616
20,0.086747,1.0,1.119445,0.725543,0.725509,21.704
21,0.086523,1.0,1.112227,0.730978,0.730108,22.162
22,0.072005,1.0,1.102069,0.730978,0.729801,22.617
23,0.066942,1.0,1.100071,0.728261,0.725316,21.772
24,0.059622,1.0,1.082183,0.725543,0.720774,21.676
25,0.060367,1.0,1.076446,0.733696,0.731271,22.976
26,0.055409,1.0,1.073571,0.73913,0.736124,21.233
27,0.050793,1.0,1.082578,0.733696,0.72976,21.086
28,0.048006,1.0,1.068448,0.730978,0.727287,21.185
29,0.040393,1.0,1.064069,0.730978,0.728384,21.241
