epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.961695,0.027027,3.840136,0.019022,0.008695,11.57
1,2.953182,0.378378,3.746482,0.035326,0.021964,11.18
2,2.129423,0.756757,3.658965,0.046196,0.02384,11.214
3,1.501731,0.972973,3.579964,0.076087,0.04405,11.287
4,1.04795,1.0,3.51175,0.092391,0.057323,11.323
5,0.727142,1.0,3.453374,0.111413,0.071988,11.409
6,0.503335,1.0,3.403643,0.122283,0.087508,11.36
7,0.351041,1.0,3.361193,0.127717,0.088921,11.526
8,0.249357,1.0,3.324941,0.138587,0.102692,11.413
9,0.18269,1.0,3.293797,0.13587,0.101361,11.368
10,0.139093,1.0,3.26719,0.146739,0.117601,11.398
11,0.11004,1.0,3.244088,0.157609,0.128864,11.366
12,0.089678,1.0,3.22379,0.171196,0.142256,11.315
13,0.074606,1.0,3.205767,0.195652,0.16906,11.355
14,0.063003,1.0,3.189753,0.206522,0.177687,11.27
15,0.053839,1.0,3.175514,0.220109,0.192072,11.367
16,0.046486,1.0,3.162833,0.222826,0.194391,11.356
17,0.040519,1.0,3.151574,0.220109,0.191311,11.524
18,0.035656,1.0,3.141514,0.233696,0.201584,11.36
19,0.031674,1.0,3.132519,0.233696,0.201184,11.398
20,0.028375,1.0,3.124484,0.236413,0.201639,11.381
21,0.025619,1.0,3.117285,0.233696,0.200715,11.381
22,0.023298,1.0,3.11085,0.23913,0.204439,11.289
23,0.021328,1.0,3.105083,0.241848,0.207547,11.49
24,0.01964,1.0,3.099895,0.23913,0.206829,11.527
25,0.018186,1.0,3.095245,0.23913,0.206638,11.428
26,0.016923,1.0,3.091038,0.23913,0.206211,11.347
27,0.015819,1.0,3.087221,0.23913,0.205634,11.331
28,0.014848,1.0,3.083765,0.241848,0.208373,11.365
29,0.013989,1.0,3.080648,0.241848,0.208107,11.312
