epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.222855,0.504929,1.492827,0.644022,0.572705,63.06
1,0.804356,0.857977,1.034166,0.752717,0.711735,61.517
2,0.454466,0.920044,0.724656,0.817935,0.800379,61.406
3,0.297088,0.953998,0.609287,0.839674,0.831056,62.41
4,0.194294,0.973348,0.540678,0.850543,0.852786,60.022
5,0.124575,0.986491,0.464275,0.872283,0.870439,59.864
6,0.086765,0.994524,0.451021,0.875,0.874145,77.379
7,0.067412,0.994158,0.451776,0.872283,0.869699,65.691
8,0.049679,0.997079,0.430875,0.86413,0.861776,64.851
9,0.041489,0.998175,0.445294,0.869565,0.867182,65.693
10,0.032095,0.999635,0.420834,0.86413,0.861764,63.534
11,0.024835,0.999635,0.413108,0.875,0.874108,62.136
12,0.021472,1.0,0.413735,0.866848,0.863417,62.147
13,0.017661,1.0,0.42751,0.86413,0.861204,61.962
14,0.015509,0.999635,0.424754,0.875,0.873039,64.399
15,0.013037,0.999635,0.404997,0.872283,0.870066,70.984
16,0.01247,1.0,0.419539,0.866848,0.862853,70.247
17,0.009311,1.0,0.407411,0.869565,0.866417,64.454
18,0.008452,1.0,0.430585,0.861413,0.857617,64.462
19,0.008895,1.0,0.460045,0.853261,0.849687,64.501
20,0.007086,1.0,0.420139,0.866848,0.863546,64.998
21,0.00865,0.99927,0.436072,0.866848,0.86446,63.931
22,0.007356,0.999635,0.426026,0.858696,0.855538,63.174
23,0.009143,0.99927,0.466228,0.858696,0.855866,63.457
24,0.010859,0.99854,0.489026,0.855978,0.851863,64.249
25,0.007263,1.0,0.435654,0.866848,0.864714,63.519
26,0.00639,0.999635,0.433082,0.866848,0.863997,63.716
27,0.005293,1.0,0.469921,0.855978,0.854086,64.213
28,0.004549,1.0,0.449236,0.861413,0.858208,64.176
29,0.004354,1.0,0.432157,0.869565,0.867993,64.038
