epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.215609,0.533406,1.199986,0.747283,0.735796,63.042
1,0.774506,0.879153,0.813669,0.817935,0.815395,62.628
2,0.415658,0.936473,0.64045,0.842391,0.841504,63.451
3,0.265537,0.960935,0.551874,0.869565,0.868111,63.202
4,0.191079,0.969332,0.530105,0.866848,0.865079,62.923
5,0.143579,0.98284,0.519311,0.858696,0.855821,62.728
6,0.096919,0.988682,0.489192,0.875,0.872928,63.675
7,0.071911,0.994524,0.50339,0.853261,0.851428,62.819
8,0.057012,0.994158,0.489933,0.877717,0.875889,62.713
9,0.041618,0.998905,0.451919,0.880435,0.877969,63.874
10,0.0327,0.99927,0.471107,0.866848,0.863981,63.028
11,0.028264,0.99927,0.457932,0.861413,0.859193,62.886
12,0.023431,0.99854,0.456621,0.858696,0.85741,62.844
13,0.022858,0.99854,0.419504,0.875,0.872989,63.033
14,0.017993,1.0,0.449248,0.86413,0.86234,62.879
15,0.0154,1.0,0.436631,0.877717,0.876208,63.094
16,0.01249,1.0,0.447926,0.872283,0.870875,63.071
17,0.011478,1.0,0.453595,0.872283,0.8711,63.672
18,0.010916,0.999635,0.44848,0.872283,0.870512,63.486
19,0.010519,0.99927,0.436541,0.880435,0.877983,62.766
20,0.016835,0.997444,0.432512,0.875,0.872406,63.113
21,0.010013,0.99927,0.462499,0.858696,0.855374,63.587
22,0.00874,1.0,0.432425,0.872283,0.87042,63.42
23,0.006843,1.0,0.44834,0.872283,0.870138,62.874
24,0.00703,0.999635,0.438146,0.88587,0.884726,62.804
25,0.011127,0.99854,0.483853,0.847826,0.845299,62.8
26,0.008184,0.999635,0.456476,0.86413,0.862243,63.641
27,0.006204,1.0,0.448477,0.875,0.873676,64.964
28,0.005608,0.999635,0.474852,0.858696,0.855862,63.002
29,0.004194,1.0,0.437122,0.880435,0.878748,62.922
