epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.493846,0.427528,1.226668,0.744565,0.730705,64.233
1,0.916958,0.861263,0.791906,0.834239,0.826437,64.638
2,0.496647,0.918949,0.682935,0.850543,0.850081,64.111
3,0.322496,0.945235,0.607131,0.880435,0.881382,71.976
4,0.226648,0.963125,0.630311,0.850543,0.849771,63.717
5,0.155145,0.97992,0.553572,0.899457,0.898577,63.492
6,0.109828,0.986491,0.616069,0.872283,0.871701,63.828
7,0.084617,0.991238,0.557616,0.891304,0.890011,63.173
8,0.06058,0.998175,0.549682,0.883152,0.881284,63.277
9,0.052626,0.995254,0.55013,0.872283,0.870781,62.942
10,0.041521,0.99927,0.553041,0.88587,0.883457,64.092
11,0.031606,0.99927,0.529164,0.880435,0.879011,62.519
12,0.026476,1.0,0.544653,0.883152,0.881706,62.809
13,0.021235,1.0,0.550992,0.883152,0.881298,63.375
14,0.018808,1.0,0.544753,0.883152,0.881754,62.831
15,0.015949,0.999635,0.531269,0.880435,0.878282,62.844
16,0.014631,1.0,0.558881,0.88587,0.882459,62.884
17,0.011121,1.0,0.553228,0.875,0.871431,63.078
18,0.010363,0.999635,0.573004,0.875,0.872214,63.03
19,0.01004,1.0,0.616005,0.861413,0.858512,67.774
20,0.008181,1.0,0.57698,0.875,0.871901,66.303
21,0.008326,0.99927,0.573058,0.880435,0.877155,65.185
22,0.007022,1.0,0.574319,0.86413,0.862445,62.714
23,0.008424,0.99927,0.59248,0.86413,0.8617,63.716
24,0.008494,0.99927,0.579117,0.880435,0.877814,63.581
25,0.006931,1.0,0.524624,0.888587,0.886188,63.201
26,0.006473,0.999635,0.740706,0.877717,0.872513,69.576
27,0.015059,0.998175,0.833172,0.853261,0.846143,63.098
28,0.025767,0.996714,0.711146,0.831522,0.831564,62.87
29,0.02451,0.995254,0.566022,0.872283,0.872595,63.018
