epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.633139,0.055857,3.433453,0.108696,0.082052,33.849
1,3.252079,0.164553,3.078448,0.217391,0.188657,34.625
2,2.915928,0.329408,2.75978,0.399457,0.371597,32.498
3,2.619949,0.463768,2.495969,0.497283,0.483779,32.697
4,2.360555,0.587862,2.25535,0.597826,0.585017,32.197
5,1.262194,0.779891,0.762751,0.858696,0.859377,39.56
6,0.577539,0.90006,0.542727,0.88587,0.885971,39.464
7,0.362419,0.943539,0.471855,0.891304,0.892122,39.459
8,0.25752,0.960145,0.406262,0.896739,0.897225,39.461
9,0.185138,0.974638,0.394307,0.902174,0.902481,39.489
10,0.161227,0.97192,0.381118,0.896739,0.896782,47.334
11,0.092429,0.989432,0.334262,0.907609,0.906933,47.815
12,0.059846,0.993056,0.338256,0.907609,0.907292,47.513
13,0.04066,0.997886,0.328275,0.915761,0.915369,47.173
14,0.031329,0.99849,0.3455,0.913043,0.91246,46.84
15,0.029342,0.997283,0.37234,0.88587,0.885396,53.244
16,0.023747,0.998188,0.352666,0.880435,0.881024,53.215
17,0.020968,0.997585,0.362858,0.904891,0.904906,53.18
18,0.027288,0.994263,0.311612,0.896739,0.896476,53.279
19,0.017655,0.997886,0.339353,0.891304,0.889542,54.418
20,0.020547,0.995471,0.446356,0.872283,0.871773,54.244
21,0.014545,0.997886,0.379841,0.888587,0.887175,53.652
22,0.012595,0.99849,0.373305,0.88587,0.885731,53.583
23,0.017848,0.997283,0.381691,0.866848,0.866685,53.34
24,0.020649,0.995773,0.44054,0.861413,0.860658,53.877
25,0.015496,0.997886,0.369193,0.875,0.875049,54.025
26,0.007672,0.999698,0.33853,0.88587,0.886393,54.711
27,0.004159,1.0,0.372893,0.88587,0.885677,53.877
28,0.004133,0.999698,0.379959,0.880435,0.880454,55.148
29,0.006718,0.99849,0.360561,0.899457,0.899335,53.352
