epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.944459,0.054054,3.781953,0.021739,0.010678,12.577
1,3.689143,0.027027,3.657694,0.048913,0.029799,10.857
2,3.431905,0.135135,3.552806,0.067935,0.049423,10.863
3,3.194913,0.216216,3.460601,0.078804,0.061082,10.92
4,3.03644,0.324324,3.375299,0.108696,0.081883,12.277
5,2.81528,0.405405,3.293735,0.116848,0.088192,10.912
6,2.565769,0.675676,3.214925,0.146739,0.115969,11.705
7,2.391021,0.756757,3.140593,0.165761,0.138932,11.912
8,2.17384,0.837838,3.068487,0.195652,0.174607,11.359
9,2.0322,0.945946,3.000297,0.236413,0.219262,11.166
10,1.843296,0.945946,2.9362,0.26087,0.24604,10.974
11,1.611799,1.0,2.875144,0.293478,0.278882,10.96
12,1.483965,1.0,2.818671,0.296196,0.283002,10.989
13,1.353451,1.0,2.764979,0.30163,0.287194,10.955
14,1.134313,1.0,2.716694,0.331522,0.317671,11.265
15,1.054124,1.0,2.669013,0.339674,0.323609,11.193
16,0.889168,1.0,2.626839,0.347826,0.33603,12.255
17,0.848681,1.0,2.585715,0.353261,0.341009,11.24
18,0.701002,1.0,2.547993,0.358696,0.347045,11.485
19,0.664452,1.0,2.512422,0.377717,0.366647,11.36
