epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.135452,0.477657,1.011661,0.779891,0.76817,45.141
1,0.704876,0.841184,0.578114,0.850543,0.850862,44.874
2,0.447007,0.896739,0.465354,0.858696,0.859162,44.478
3,0.34469,0.911836,0.40958,0.880435,0.879719,44.673
4,0.278861,0.92965,0.379007,0.888587,0.891665,46.058
5,0.22349,0.946558,0.356335,0.88587,0.884169,50.412
6,0.20453,0.94837,0.338966,0.883152,0.883192,47.196
7,0.186848,0.951389,0.341239,0.883152,0.885312,47.166
8,0.147564,0.96407,0.303185,0.915761,0.916152,46.918
9,0.131196,0.967693,0.338809,0.899457,0.897816,48.371
10,0.128268,0.965278,0.384295,0.875,0.874536,44.62
11,0.113296,0.970713,0.342563,0.891304,0.891437,45.22
12,0.09314,0.981884,0.315543,0.896739,0.896152,46.85
13,0.088525,0.98128,0.369721,0.88587,0.887716,52.219
14,0.073898,0.987017,0.356477,0.902174,0.901652,51.82
15,0.08157,0.982186,0.364287,0.880435,0.880418,51.382
16,0.072429,0.984601,0.36184,0.88587,0.885353,51.907
17,0.066134,0.98279,0.341177,0.899457,0.898623,52.029
18,0.060862,0.987621,0.33738,0.899457,0.899647,51.718
19,0.054348,0.990942,0.357572,0.891304,0.890934,51.34
20,0.04828,0.990338,0.340691,0.88587,0.885853,51.545
21,0.043033,0.991244,0.33521,0.913043,0.912213,51.521
22,0.051722,0.987319,0.328801,0.894022,0.893669,51.531
23,0.052065,0.98913,0.387696,0.872283,0.870275,51.598
24,0.047773,0.989734,0.408785,0.875,0.874811,51.753
25,0.045358,0.990338,0.390151,0.880435,0.880035,51.317
26,0.047415,0.988829,0.365506,0.894022,0.894026,51.31
27,0.04448,0.990942,0.363555,0.891304,0.890075,51.492
28,0.039772,0.991848,0.40459,0.877717,0.876521,51.582
29,0.040053,0.990338,0.421208,0.883152,0.882015,51.576
