epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.90444,0.054054,3.912641,0.016304,0.007403,6.207
1,3.900869,0.054054,3.893264,0.01087,0.003378,6.11
2,3.935245,0.027027,3.874601,0.016304,0.005499,6.056
3,3.850629,0.054054,3.857414,0.016304,0.00555,6.07
4,3.831791,0.081081,3.841885,0.019022,0.009532,6.09
5,3.80379,0.054054,3.827537,0.021739,0.010251,6.044
6,3.70057,0.108108,3.813881,0.021739,0.009489,6.121
7,3.760691,0.027027,3.79948,0.019022,0.00897,6.058
8,3.702807,0.054054,3.786372,0.024457,0.012397,6.073
9,3.735493,0.054054,3.772949,0.021739,0.011794,6.075
10,3.69441,0.081081,3.760367,0.021739,0.011792,6.128
11,3.629687,0.081081,3.747872,0.019022,0.008939,6.068
12,3.621107,0.081081,3.735363,0.029891,0.017936,6.102
13,3.597887,0.054054,3.723535,0.038043,0.025623,6.091
14,3.598844,0.054054,3.712089,0.040761,0.027838,6.132
15,3.534144,0.081081,3.700994,0.038043,0.026901,6.044
16,3.576451,0.081081,3.68971,0.043478,0.030963,6.2
17,3.495466,0.027027,3.679122,0.043478,0.030631,6.332
18,3.436025,0.135135,3.669127,0.046196,0.031175,6.217
19,3.49866,0.081081,3.65933,0.043478,0.029511,6.072
20,3.442016,0.108108,3.64913,0.048913,0.032384,6.037
21,3.411943,0.135135,3.638865,0.048913,0.032365,6.182
22,3.361419,0.135135,3.62893,0.048913,0.031809,6.046
23,3.368992,0.108108,3.618899,0.05163,0.032434,6.079
24,3.277857,0.216216,3.609054,0.05163,0.031745,6.239
25,3.28342,0.216216,3.599421,0.05163,0.031569,6.462
26,3.245026,0.189189,3.5897,0.057065,0.036171,6.42
27,3.236866,0.243243,3.57932,0.057065,0.036865,6.436
28,3.201937,0.297297,3.569888,0.057065,0.036743,6.292
29,3.143957,0.324324,3.560022,0.059783,0.038463,6.374
