epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.410022,0.083937,2.637171,0.247283,0.225913,35.131
1,2.006128,0.420894,1.551304,0.529891,0.511488,35.063
2,1.243163,0.637681,1.093166,0.673913,0.66547,35.828
3,0.897115,0.727053,0.84888,0.741848,0.736316,35.613
4,0.72807,0.777476,0.71838,0.790761,0.787271,35.237
5,0.62794,0.807669,0.688982,0.771739,0.773375,34.507
6,0.570159,0.820954,0.648081,0.788043,0.788075,35.662
7,0.516258,0.830616,0.579809,0.8125,0.811559,35.65
8,0.473641,0.853865,0.550268,0.828804,0.8272,35.81
9,0.46086,0.854771,0.554234,0.8125,0.815095,35.367
10,0.42503,0.864432,0.535666,0.809783,0.81033,34.355
11,0.404308,0.872886,0.523291,0.817935,0.8176,34.371
12,0.408165,0.869263,0.503565,0.820652,0.821339,33.931
13,0.372853,0.878321,0.502993,0.817935,0.817944,33.995
14,0.367859,0.879831,0.476284,0.836957,0.83832,33.94
15,0.359162,0.879831,0.489163,0.836957,0.837409,35.276
16,0.34399,0.888889,0.476035,0.834239,0.83561,34.545
17,0.330272,0.892512,0.495579,0.831522,0.83327,33.923
18,0.311462,0.893116,0.478279,0.850543,0.852369,34.005
19,0.307756,0.899758,0.463271,0.842391,0.844347,34.158
20,0.311141,0.898249,0.469082,0.839674,0.83883,33.912
21,0.301892,0.900362,0.455205,0.847826,0.847762,34.021
22,0.278501,0.909118,0.440976,0.86413,0.864964,34.244
23,0.289933,0.902476,0.465258,0.847826,0.848218,34.077
24,0.27408,0.908514,0.497703,0.836957,0.836601,33.999
25,0.271072,0.911534,0.475541,0.850543,0.852406,33.931
26,0.252572,0.917271,0.469808,0.853261,0.85479,34.113
27,0.263944,0.911232,0.505873,0.847826,0.847789,34.109
28,0.261515,0.907911,0.467275,0.855978,0.857193,34.05
29,0.246594,0.911232,0.47722,0.850543,0.850299,34.236
