epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.240333,0.512983,1.152706,0.769022,0.767655,41.503
1,0.850073,0.855676,0.711495,0.891304,0.891438,39.702
2,0.514838,0.90942,0.544273,0.880435,0.879723,39.651
3,0.34568,0.942935,0.482893,0.902174,0.903618,39.524
4,0.253735,0.959843,0.432967,0.902174,0.902125,39.323
5,0.180906,0.976449,0.400906,0.904891,0.905235,40.247
6,0.142835,0.9843,0.389959,0.899457,0.899168,41.25
7,0.104297,0.991244,0.386605,0.894022,0.894793,42.003
8,0.07972,0.994867,0.372487,0.88587,0.886277,39.725
9,0.063917,0.996377,0.377832,0.899457,0.900252,40.09
10,0.051097,0.996981,0.371298,0.910326,0.910788,41.463
11,0.043414,0.996981,0.34887,0.907609,0.907669,40.245
12,0.036174,0.997886,0.354861,0.902174,0.901082,38.587
13,0.030274,0.999094,0.361949,0.899457,0.898872,38.514
14,0.0268,1.0,0.352352,0.902174,0.901482,38.54
15,0.020468,1.0,0.352647,0.899457,0.899423,38.992
16,0.018409,1.0,0.354237,0.896739,0.897102,38.558
17,0.017674,0.998792,0.335196,0.899457,0.898938,41.138
18,0.016302,0.999094,0.3508,0.896739,0.895339,38.675
19,0.015096,0.999396,0.346201,0.896739,0.897089,39.156
20,0.014374,0.999094,0.340182,0.894022,0.894839,39.583
21,0.0117,1.0,0.351045,0.902174,0.902492,38.614
22,0.012108,1.0,0.358798,0.888587,0.887719,38.776
23,0.01174,0.999396,0.366319,0.875,0.873878,38.74
24,0.010738,0.999094,0.360785,0.894022,0.892479,39.052
25,0.008752,1.0,0.349458,0.899457,0.898897,39.016
26,0.008284,1.0,0.34497,0.896739,0.895109,39.04
27,0.008243,0.999396,0.34648,0.896739,0.895982,39.781
28,0.00782,0.999396,0.358354,0.904891,0.904461,38.083
29,0.007812,0.999698,0.342828,0.896739,0.896139,38.045
