experiment,method,target,budget,rank,best_epoch,best_val_accuracy,test_accuracy,test_macro_f1,trainable_params,time_seconds
resnet18_lora_r4_1_seed42,FC-LoRA,fc only,1%,4,29,0.03804347826086957,0.05396565821749796,0.03853968294599089,2196,432.41
resnet18_lora_r8_1_seed42,FC-LoRA,fc only,1%,8,29,0.06521739130434782,0.07522485690923958,0.050281754668854095,4392,434.31
resnet18_lora_r16_1_seed42,FC-LoRA,fc only,1%,16,29,0.11956521739130435,0.1452711910602344,0.11238703838670658,8784,433.16
resnet18_lora_r4_10_seed42,FC-LoRA,fc only,10%,4,29,0.23369565217391305,0.20986644862360315,0.17135064169136002,2196,512.04
resnet18_lora_r8_10_seed42,FC-LoRA,fc only,10%,8,28,0.5706521739130435,0.5576451349141456,0.5474844189801512,4392,511.76
resnet18_lora_r16_10_seed42,FC-LoRA,fc only,10%,16,26,0.6467391304347826,0.6514036522213137,0.6497299463191503,8784,511.63
resnet18_lora_r4_100_seed42,FC-LoRA,fc only,100%,4,29,0.6277173913043478,0.6077950395203052,0.6046576803348157,2196,1283.0
resnet18_lora_r8_100_seed42,FC-LoRA,fc only,100%,8,22,0.8206521739130435,0.7914963205233033,0.7900865337286394,4392,1302.02
resnet18_lora_r16_100_seed42,FC-LoRA,fc only,100%,16,22,0.8641304347826086,0.8203870264377214,0.8179858560517455,8784,1296.84
resnet18_lora_layer4_r4_1_seed42,Layer4-LoRA,layer4 + fc,1%,4,19,0.4048913043478261,0.41101117470700466,0.39961814191372785,94757,441.41
resnet18_lora_layer4_r8_1_seed42,Layer4-LoRA,layer4 + fc,1%,8,21,0.4048913043478261,0.3783047151812483,0.363567243327421,170533,451.55
resnet18_lora_layer4_r16_1_seed42,Layer4-LoRA,layer4 + fc,1%,16,22,0.35054347826086957,0.3507767784137367,0.34305303871816734,322085,438.5
resnet18_lora_layer4_r4_10_seed42,Layer4-LoRA,layer4 + fc,10%,4,20,0.7907608695652174,0.7525211229217771,0.7500319109819017,94757,540.01
resnet18_lora_layer4_r8_10_seed42,Layer4-LoRA,layer4 + fc,10%,8,25,0.7934782608695652,0.7440719542109566,0.739364081796298,170533,528.78
resnet18_lora_layer4_r16_10_seed42,Layer4-LoRA,layer4 + fc,10%,16,23,0.7635869565217391,0.7285363859362224,0.7245987609905971,322085,534.38
resnet18_lora_layer4_r4_100_seed42,Layer4-LoRA,layer4 + fc,100%,4,14,0.907608695652174,0.8495502861815208,0.8473186420036584,94757,1479.09
resnet18_lora_layer4_r8_100_seed42,Layer4-LoRA,layer4 + fc,100%,8,11,0.8967391304347826,0.8397383483237939,0.8370012063432108,170533,1463.58
resnet18_lora_layer4_r16_100_seed42,Layer4-LoRA,layer4 + fc,100%,16,3,0.8885869565217391,0.8446443172526574,0.8426947530044812,322085,1466.99
resnet18_linear_probe_1_seed42,Linear probe,fc only,1%,-,19,0.37771739130434784,0.3875715453802126,0.37731463819426314,18981,585.83
resnet18_linear_probe_10_seed42,Linear probe,fc only,10%,-,15,0.7445652173913043,0.7369855546470427,0.735493772447298,18981,709.85
resnet18_linear_probe_100_seed42,Linear probe,fc only,100%,-,8,0.8777173913043478,0.8457345325701826,0.8422496008586047,18981,1030.04
resnet18_finetune_1_noaug_seed42,Full fine-tuning,full,1%,-,23,0.2418478260869565,0.23112564731534477,0.21302857767073632,11195493,867.75
resnet18_finetune_1_seed42,Full fine-tuning,full,1%,-,28,0.2717391304347826,0.2608340147179068,0.24726126470717202,11195493,883.12
resnet18_finetune_1_wdhigh_seed42,Full fine-tuning,full,1%,-,28,0.2717391304347826,0.2613791223766694,0.2477556807697661,11195493,872.92
resnet18_finetune_10_noaug_seed42,Full fine-tuning,full,10%,-,29,0.717391304347826,0.6644862360316163,0.6621273024827443,11195493,1177.91
resnet18_finetune_10_seed42,Full fine-tuning,full,10%,-,26,0.7418478260869565,0.7127282638321069,0.7083349524224061,11195493,1210.78
resnet18_finetune_10_wdhigh_seed42,Full fine-tuning,full,10%,-,26,0.7391304347826086,0.7130008176614882,0.7088537651271785,11195493,1170.38
resnet18_finetune_100_seed42,Full fine-tuning,full,100%,-,5,0.9130434782608695,0.8678113927500681,0.8646164710975578,11195493,4418.19
resnet18_finetune_imbalanced_baseline_seed42,Full fine-tuning,full,-,-,6,0.875,0.8296538566366858,0.8252469258919852,11195493,2471.35
resnet18_finetune_imbalanced_cat20_oversampling_seed42,Full fine-tuning,full,-,-,24,0.8858695652173914,0.8408285636413192,0.8345035694549995,11195493,2433.83
resnet18_finetune_imbalanced_cat20_weighted_ce_seed42,Full fine-tuning,full,-,-,5,0.8994565217391305,0.8465521940583265,0.8436678382923035,11195493,2468.52
resnet18_gradual_unfreeze_1_seed42,Gradual unfreezing,gradual,1%,-,28,0.28804347826086957,0.2880893976560371,0.27627395278504735,11037989,868.06
resnet18_gradual_unfreeze_10_seed42,Gradual unfreezing,gradual,10%,-,19,0.7635869565217391,0.731807031888798,0.7255670733204785,11037989,1088.57
resnet18_gradual_unfreeze_100_seed42,Gradual unfreezing,gradual,100%,-,13,0.9157608695652174,0.8740801308258381,0.8724417057832788,11037989,1943.0
resnet18_partial_finetune_l2_100_seed42,Partial fine-tuning,partial,100%,-,10,0.9103260869565217,0.8661760697737804,0.8647526903190945,8412709,1720.33
resnet18_partial_finetune_l3_100_seed42,Partial fine-tuning,partial,100%,-,21,0.9239130434782609,0.8675388389206868,0.8660623405793584,10512421,1931.67
sanity_binary_cat_vs_dog_seed42,Binary sanity check,-,-,-,,,0.9831016625783592,0.9805319310631911,,708.2
